stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type
555605,Sonderburger Straße,49.536111,8.481144,,0
555606,Sonderburger Straße,49.53538,8.481048,,0
385120,Viernheim Bahnhof,49.53504,8.58208,,0
129202,Wiebl. Evang. Kirche,49.427032,8.647015,,0
129201,Wiebl. Evang. Kirche,49.426073,8.647466,,0
212205,Maudach Ortseingang,49.455136,8.389852,,0
212206,Maudach Ortseingang,49.455122,8.389214,,0
411812,Händelstraße,49.549049,8.656545,,0
411811,Händelstraße,49.548683,8.65555,,0
259802,Carl-Benz-Bad,49.52675,8.50583,,0
259801,Carl-Benz-Bad,49.52631,8.5053,,0
302005,Taylor Ost,49.514611,8.556531,,0
131001,Grüner Baum,49.437754,8.75206,,0
131002,Grüner Baum,49.437555,8.751988,,0
123002,Fußballcampus HD,49.425349,8.656832,,0
206106,Edigheim Friedhof,49.530158,8.394311,,0
206105,Edigheim Friedhof,49.530339,8.394123,,0
123001,Fußballcampus HD,49.425356,8.656769,,0
556005,Pfalzplatz,49.464705,8.46992,,0
110602,Schleifengrundweg,49.423903,8.75782,,0
110603,Schleifengrundweg,49.423895,8.757848,,0
145401,S-Bf Pfaffeng./Wbl.,49.412122,8.641262,,0
234705,Ölhafenstraße,49.5231,8.450037,,0
681005,Heuweg,49.473395,8.409488,,0
251601,Kopernikusstraße,49.478401,8.477642,,0
264207,Hansastraße,49.50919,8.469385,,0
117901,Oberer Fauler Pelz,49.409645,8.709354,,0
117902,Oberer Fauler Pelz,49.409221,8.708066,,0
261706,Eschenhof,49.535461,8.504585,,0
261705,Eschenhof,49.535546,8.504224,,0
664506,Ebertpark Süd,49.487056,8.414871,,0
344001,Abzweig Klinge,49.455799,8.807242,,0
205006,Pommernstraße,49.454766,8.405563,,0
205005,Pommernstraße,49.454255,8.405855,,0
213005,Mundenheim Friedhof,49.468181,8.416871,,0
238205,Amselstraße,49.545944,8.459144,,0
215506,Hollergärten,49.489916,8.384665,,0
215505,Hollergärten,49.489619,8.383668,,0
120102,Alfred-Jost-Str.,49.378868,8.65912,,0
120101,Alfred-Jost-Str.,49.378593,8.659042,,0
119405,Stadtwerke,49.405075,8.681104,,0
124802,Ziegelh. Friedhof,49.419693,8.760818,,0
124801,Ziegelh. Friedhof,49.41954,8.761004,,0
118101,Peterskirche,49.408932,8.705425,,0
118102,Peterskirche,49.409035,8.705286,,0
253405,Karl-Schwaner-Straße,49.419124,8.53373,,0
241505,Güteramt,49.49855,8.44855,,0
244005,Möhlstraße,49.474691,8.4871,,0
244006,Möhlstraße,49.47487,8.486962,,0
249705,Markuskirche,49.464761,8.475339,,0
249706,Markuskirche,49.46497,8.47513,,0
249707,Markuskirche,49.46462,8.475835,,0
249702,Markuskirche,49.465244,8.475059,,0
248606,Neckarau Friedhof,49.455038,8.501579,,0
248605,Neckarau Friedhof,49.454805,8.501118,,0
214706,Am Weidenschlag,49.505728,8.375809,,0
247112,Universität,49.481539,8.465762,,0
247111,Universität,49.482671,8.465374,,0
63006,Breslauer Str.(NEd),49.44959,8.585499,,0
63005,Breslauer Str.(NEd),49.449478,8.585403,,0
121501,Obere Seegasse,49.377228,8.669191,,0
